scenario_id,run_number,status,run_label,git_commit,cost_model_version,feature_version,walk_forward_version,model_focus,long_entry_threshold,short_entry_threshold,long_exit_threshold,short_exit_threshold,long_to_short_reverse_threshold,short_to_long_reverse_threshold,minimum_holding_bars,compare_to,change_summary,decoder_tft_total_return,decoder_tft_sharpe_ratio,decoder_tft_max_drawdown,decoder_tft_turnover,decoder_transformer_total_return,decoder_transformer_sharpe_ratio,lstm_dmn_total_return,lstm_dmn_sharpe_ratio,baseline_best_model,baseline_best_total_return,baseline_best_sharpe_ratio,notes
s00_baseline_current,1,completed,vn30f1m_outputs_version1,10c6da4,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.30,0.03,0.08,0.50,0.35,0,none,Reference baseline for all future comparisons.,0.08156080946171551,0.4872776117082297,-0.23333014251857875,12272.352326683698,0.07332582900632834,0.415299012455057,0.08915425476350203,1.3433456007974234,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"Current baseline run stored in outputs/vn30f1m_outputs_version1. Cost model locked. If rerun, append a new row with the same scenario_id and increment run_number."
s01_short_entry_033,1,completed,vn30f1m_outputs_version1,1908919,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.33,0.03,0.08,0.50,0.35,0,s00_baseline_current,Raise short entry threshold from 0.30 to 0.33 to reduce taxed short entries.,-0.1177523182581578,-0.4621027402935403,-0.32402038558444457,13610.985500622539,0.07755340305159852,0.4169271074476324,0.20765619656829082,2.5095978099320235,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"Decoder TFT degraded versus baseline: lower return, lower Sharpe, higher drawdown, higher turnover. Short-entry tightening alone is not a good next direction for decoder_tft."
s02_current_mild_asymmetry,1,completed,vn30f1m_outputs_version1,unknown,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s00_baseline_current,Restore mild asymmetry thresholds after rejecting short-entry-only tightening.,0.03636624417388368,0.27070401747585365,-0.367077331838642,13484.498941637574,0.24283036450280404,1.0000992387755547,0.1438513359914555,1.9727690857730633,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"Mild asymmetry is better than s01 for decoder_tft, but still below the baseline on return and Sharpe. Keep it as a reference only until the next TFT hyperparameter sweep."
s03_tft_hparam_sweep_156_390_hs64_do02_lr1e4_bs64,1,completed,vn30f1m_outputs_version1,unknown,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s02_current_mild_asymmetry,"Decoder TFT hyperparameter sweep: sequence_length 156 vs 390, hidden_size 64, dropout 0.2, learning_rate 1e-4, batch_size 64.",0.39641847006405895,1.3442375256339316,-0.22619310899747058,11386.219306118785,0.39178900133984396,1.3446151955324255,0.09353751614745032,1.291283513175431,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"Decoder TFT improved materially versus s02: higher return, higher Sharpe, lower drawdown, and lower turnover. Decoder Transformer also stayed strong; LSTM remained the most defensive deep model."
s04_seq156_hs64_do02_lr1e4_bs64,1,completed,vn30f1m_outputs_version1,3fadf20,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s03_tft_hparam_sweep_156_390_hs64_do02_lr1e4_bs64,"Fix decoder_tft to the short sequence baseline: sequence_length 156 with hidden_size 64, dropout 0.2, learning_rate 1e-4, batch_size 64.",0.16295496651077235,1.2196432359433012,-0.09010194716507691,6127.0306045413,0.20442884544939965,1.256604485198694,0.06851860880136518,2.548293473149916,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"Short-sequence TFT underperformed s03 on return and Sharpe, but reduced turnover and drawdown. LSTM became very defensive; Decoder Transformer stayed positive but weaker than s03."
s05_seq390_hs64_do02_lr1e4_bs64,1,completed,vn30f1m_outputs_version1,28ad1fb673b84887b1e3aaa341f3cd7ca005823a,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s04_seq156_hs64_do02_lr1e4_bs64,"TFT hyperparameter sweep: increase sequence_length from 156 to 390 while keeping hidden_size 64, dropout 0.2, learning_rate 1e-4, and batch_size 64 fixed.",-0.2264819378755382,-1.5045629999450885,-0.3115721608272851,1590.7926438078262,-0.3731162386296532,-2.1310839884438955,-0.0404309907855707,-2.2866496008698225,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"s05 is a clear regression versus s04. Long sequence_length=390 hurt decoder_tft materially: lower return, lower Sharpe, deeper drawdown, and lower-quality trading. Reject this direction and keep s04 as the better TFT reference."
s06_seq156_hs32_do02_lr1e4_bs64,1,completed,vn30f1m_outputs_version1,d131797,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s04_seq156_hs64_do02_lr1e4_bs64,"Reduce decoder_tft hidden_size from 64 to 32 while keeping sequence_length 156, dropout 0.2, learning_rate 1e-4, and batch_size 64 fixed.",-0.18236832799885216,-1.078626845997882,-0.2878095622910227,1716.2893751859638,-0.40579421016390904,-2.9390508054349165,0.009927514502245272,0.9388507164038076,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"s06 is rejected. Smaller hidden_size=32 did not improve decoder_tft; it stayed highly exposed, produced negative return and Sharpe, and did not solve the signal quality problem."
s07_tft_turnover_penalty_loss,1,completed,vn30f1m_outputs_version1,c5ddb87,fixed_v1_locked,feature_set_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s04_seq156_hs64_do02_lr1e4_bs64,"Add decoder_tft_turnover_penalty_lambda=0.05 to the TFT training loss while keeping sequence_length 156, hidden_size 64, dropout 0.2, learning_rate 1e-4, and batch_size 64 fixed.",-0.03408359347530443,-0.10638500416015889,-0.208795182961523,1505.6885868385411,-0.4717492923529343,-3.644005093544919,-0.013316510684675653,-0.7497185270988376,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"s07 is not promoted. Turnover penalty improved decoder_tft versus s06, but total return and Sharpe remain negative. It suggests noisy turnover is part of the problem, but the signal edge is still too weak."
s09_feature_subset_clean_trend,1,completed,vn30f1m_outputs_version1,59e9833,fixed_v1_locked,feature_subset_clean_trend_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s08_macd3296_enriched_features,"Keep TFT hyperparameters fixed and restrict model inputs to a clean trend subset: returns, normalized returns, volatility, EMA trend, MACD(32,96) core/enriched features, ATR, cyclical time context, and trade_allowed.",0.42878754471475355,2.85684915819855,-0.097955042421207,5292.427376322446,0.1614666319953839,1.0311936020881132,0.09263735235654869,3.114201604655505,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"s09 is promoted. Decoder TFT improved sharply versus s08 and now clears the working research goal on both annual return and Sharpe, with much better turnover quality than earlier broad-feature runs."
s10_validation_selection_stricter,1,completed,vn30f1m_outputs_version1,142bea6,fixed_v1_locked,feature_subset_clean_trend_v1,expanding_6m_val_6m_test_6m_step,decoder_tft,0.20,0.25,0.04,0.06,0.45,0.35,0,s09_feature_subset_clean_trend,"Keep the s09 clean_trend subset and TFT hyperparameters fixed, but select TFT checkpoints by validation score: valid_loss + 0.05 * valid_turnover_proxy.",0.7308186424621823,4.022243085506757,-0.060192592786335264,5295.84021168947,0.18164649831843072,1.1684788219862456,0.07409194081444226,2.3659455650522063,ema_cross_32_96,0.8359636431629323,1.8258380717739875,"s10 is promoted and becomes the new lead scenario. Decoder TFT improved materially versus s09 on total return, Sharpe, and drawdown while turnover stayed essentially unchanged, supporting the stricter validation checkpoint selection rule."
